id,host_id,latitude,longitude,price,minimum_nights,calculated_host_listings_count,accommodates,bedrooms,bathrooms,beds,security_deposit,cleaning_fee,extra_people,maximum_nights,availability_30,amenities_number,neighbourhood_Bijlmer-Centrum,neighbourhood_Bijlmer-Oost,neighbourhood_Bos en Lommer,neighbourhood_Buitenveldert - Zuidas,neighbourhood_Centrum-Oost,neighbourhood_Centrum-West,neighbourhood_De Aker - Nieuw Sloten,neighbourhood_De Baarsjes - Oud-West,neighbourhood_De Pijp - Rivierenbuurt,neighbourhood_Gaasperdam - Driemond,neighbourhood_Geuzenveld - Slotermeer,neighbourhood_IJburg - Zeeburgereiland,neighbourhood_Noord-Oost,neighbourhood_Noord-West,neighbourhood_Oostelijk Havengebied - Indische Buurt,neighbourhood_Osdorp,neighbourhood_Oud-Noord,neighbourhood_Oud-Oost,neighbourhood_Slotervaart,neighbourhood_Watergraafsmeer,neighbourhood_Westerpark,neighbourhood_Zuid,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,property_type_Apartment,property_type_House,property_type_Other,cancellation_policy_flexible,cancellation_policy_moderate,cancellation_policy_strict_14_with_grace_period,cancellation_policy_super_strict_60
65230,213960,52.368713041376715,4.892843389610457,179,3,1,4,1.0,1.0,3.0,200.0,60.0,60.0,1123,25,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
67841,335166,52.35472482794198,4.893237543427079,100,3,2,2,1.0,1.0,1.0,0.0,25.0,0.0,30,29,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
68290,336950,52.368870779675284,4.8952338913153035,109,1,3,2,1.0,1.5,2.0,100.0,20.0,20.0,30,15,36,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
68873,336950,52.36950063833623,4.895559709996519,109,1,3,2,1.0,1.5,2.0,100.0,20.0,20.0,30,16,34,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
69042,344312,52.373527199212894,4.876905973776999,116,3,2,3,1.0,1.0,2.0,100.0,40.0,10.0,365,6,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
73208,381900,52.3593509829142,4.876721555693788,220,5,1,4,2.0,2.5,3.0,350.0,70.0,30.0,1125,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
73917,387205,52.37894280400968,4.890601996192832,175,3,1,2,1.0,1.0,2.0,0.0,0.0,0.0,365,4,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
74367,391075,52.37479553602839,4.880446471317074,260,7,1,3,2.0,1.0,2.0,300.0,60.0,20.0,30,24,22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
75382,399879,52.364824885646925,4.9276155489234315,105,3,3,3,1.0,1.0,1.0,100.0,25.0,20.0,90,8,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
75444,399879,52.365509785021295,4.928480703679059,70,3,3,2,1.0,1.0,1.0,0.0,15.0,0.0,100,9,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
